Cell	Cell_Type	Gender
B7.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D10.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B9.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D11.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
B10.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J5.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
J11.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
M10.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
N5.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
G7.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
D6.MAA000615.3_10_M.1.1	astrocyte_of_the_cerebral_cortex	M
I19.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E15.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E17.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A1.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
D2.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E20.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A11.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A13.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
J18.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P4.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
N22.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P17.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
O19.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
N9.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P3.MAA000923.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
B21.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
M16.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
B22.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
J16.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
N13.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
N17.MAA000925.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
M8.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
O16.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P20.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
F8.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
N13.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
O18.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P22.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
O17.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A10.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
I10.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
F10.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
J22.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
M13.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
F14.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
L7.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
M16.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E6.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
C1.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
K3.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A19.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E9.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
H8.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
P5.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
K5.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E10.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
L13.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
O2.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
H9.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
A21.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
I21.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
M21.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
K7.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
D9.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
G2.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
H12.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
I22.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
B4.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
C8.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
E14.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
B5.MAA000926.3_9_M.1.1	astrocyte_of_the_cerebral_cortex	M
