Cell	Cell_Type	Gender
B7.MAA000563.3_10_M.1.1	oligodendrocyte	M
G21.MAA000563.3_10_M.1.1	oligodendrocyte	M
H6.MAA000563.3_10_M.1.1	oligodendrocyte	M
N7.MAA000563.3_10_M.1.1	oligodendrocyte	M
O22.MAA000563.3_10_M.1.1	oligodendrocyte	M
B10.MAA000563.3_10_M.1.1	oligodendrocyte	M
B12.MAA000563.3_10_M.1.1	oligodendrocyte	M
H21.MAA000563.3_10_M.1.1	oligodendrocyte	M
I9.MAA000563.3_10_M.1.1	oligodendrocyte	M
C13.MAA000563.3_10_M.1.1	oligodendrocyte	M
J6.MAA000563.3_10_M.1.1	oligodendrocyte	M
C6.MAA000563.3_10_M.1.1	oligodendrocyte	M
I19.MAA000563.3_10_M.1.1	oligodendrocyte	M
J8.MAA000563.3_10_M.1.1	oligodendrocyte	M
J9.MAA000563.3_10_M.1.1	oligodendrocyte	M
D8.MAA000563.3_10_M.1.1	oligodendrocyte	M
N19.MAA000563.3_10_M.1.1	oligodendrocyte	M
D20.MAA000563.3_10_M.1.1	oligodendrocyte	M
B18.MAA000564.3_10_M.1.1	oligodendrocyte	M
F5.MAA000564.3_10_M.1.1	oligodendrocyte	M
I7.MAA000564.3_10_M.1.1	oligodendrocyte	M
B19.MAA000564.3_10_M.1.1	oligodendrocyte	M
I9.MAA000564.3_10_M.1.1	oligodendrocyte	M
B22.MAA000564.3_10_M.1.1	oligodendrocyte	M
F14.MAA000564.3_10_M.1.1	oligodendrocyte	M
C1.MAA000564.3_10_M.1.1	oligodendrocyte	M
G2.MAA000564.3_10_M.1.1	oligodendrocyte	M
G8.MAA000564.3_10_M.1.1	oligodendrocyte	M
C13.MAA000564.3_10_M.1.1	oligodendrocyte	M
C15.MAA000564.3_10_M.1.1	oligodendrocyte	M
C18.MAA000564.3_10_M.1.1	oligodendrocyte	M
A7.MAA000564.3_10_M.1.1	oligodendrocyte	M
D2.MAA000564.3_10_M.1.1	oligodendrocyte	M
G20.MAA000564.3_10_M.1.1	oligodendrocyte	M
H2.MAA000564.3_10_M.1.1	oligodendrocyte	M
H6.MAA000564.3_10_M.1.1	oligodendrocyte	M
H10.MAA000564.3_10_M.1.1	oligodendrocyte	M
H13.MAA000564.3_10_M.1.1	oligodendrocyte	M
B3.MAA000564.3_10_M.1.1	oligodendrocyte	M
A22.MAA000564.3_10_M.1.1	oligodendrocyte	M
D19.MAA000564.3_10_M.1.1	oligodendrocyte	M
H19.MAA000564.3_10_M.1.1	oligodendrocyte	M
B5.MAA000564.3_10_M.1.1	oligodendrocyte	M
E3.MAA000564.3_10_M.1.1	oligodendrocyte	M
H20.MAA000564.3_10_M.1.1	oligodendrocyte	M
E22.MAA000564.3_10_M.1.1	oligodendrocyte	M
H22.MAA000564.3_10_M.1.1	oligodendrocyte	M
B7.MAA000564.3_10_M.1.1	oligodendrocyte	M
F1.MAA000564.3_10_M.1.1	oligodendrocyte	M
K14.MAA000564.3_10_M.1.1	oligodendrocyte	M
B8.MAA000564.3_10_M.1.1	oligodendrocyte	M
F2.MAA000564.3_10_M.1.1	oligodendrocyte	M
K15.MAA000564.3_10_M.1.1	oligodendrocyte	M
M18.MAA000564.3_10_M.1.1	oligodendrocyte	M
O9.MAA000564.3_10_M.1.1	oligodendrocyte	M
M20.MAA000564.3_10_M.1.1	oligodendrocyte	M
M21.MAA000564.3_10_M.1.1	oligodendrocyte	M
O12.MAA000564.3_10_M.1.1	oligodendrocyte	M
P20.MAA000564.3_10_M.1.1	oligodendrocyte	M
K19.MAA000564.3_10_M.1.1	oligodendrocyte	M
I17.MAA000564.3_10_M.1.1	oligodendrocyte	M
I16.MAA000564.3_10_M.1.1	oligodendrocyte	M
L3.MAA000564.3_10_M.1.1	oligodendrocyte	M
L4.MAA000564.3_10_M.1.1	oligodendrocyte	M
J6.MAA000564.3_10_M.1.1	oligodendrocyte	M
L8.MAA000564.3_10_M.1.1	oligodendrocyte	M
N8.MAA000564.3_10_M.1.1	oligodendrocyte	M
L13.MAA000564.3_10_M.1.1	oligodendrocyte	M
L16.MAA000564.3_10_M.1.1	oligodendrocyte	M
N12.MAA000564.3_10_M.1.1	oligodendrocyte	M
L18.MAA000564.3_10_M.1.1	oligodendrocyte	M
N13.MAA000564.3_10_M.1.1	oligodendrocyte	M
J19.MAA000564.3_10_M.1.1	oligodendrocyte	M
J20.MAA000564.3_10_M.1.1	oligodendrocyte	M
J22.MAA000564.3_10_M.1.1	oligodendrocyte	M
P8.MAA000564.3_10_M.1.1	oligodendrocyte	M
M6.MAA000564.3_10_M.1.1	oligodendrocyte	M
N22.MAA000564.3_10_M.1.1	oligodendrocyte	M
P9.MAA000564.3_10_M.1.1	oligodendrocyte	M
K8.MAA000564.3_10_M.1.1	oligodendrocyte	M
O1.MAA000564.3_10_M.1.1	oligodendrocyte	M
K9.MAA000564.3_10_M.1.1	oligodendrocyte	M
P12.MAA000564.3_10_M.1.1	oligodendrocyte	M
K10.MAA000564.3_10_M.1.1	oligodendrocyte	M
M14.MAA000564.3_10_M.1.1	oligodendrocyte	M
O4.MAA000564.3_10_M.1.1	oligodendrocyte	M
P16.MAA000564.3_10_M.1.1	oligodendrocyte	M
G11.MAA000578.3_10_M.1.1	oligodendrocyte	M
L6.MAA000578.3_10_M.1.1	oligodendrocyte	M
L12.MAA000578.3_10_M.1.1	oligodendrocyte	M
O6.MAA000578.3_10_M.1.1	oligodendrocyte	M
G22.MAA000578.3_10_M.1.1	oligodendrocyte	M
C22.MAA000578.3_10_M.1.1	oligodendrocyte	M
M1.MAA000578.3_10_M.1.1	oligodendrocyte	M
O22.MAA000578.3_10_M.1.1	oligodendrocyte	M
H10.MAA000578.3_10_M.1.1	oligodendrocyte	M
M19.MAA000578.3_10_M.1.1	oligodendrocyte	M
P14.MAA000578.3_10_M.1.1	oligodendrocyte	M
A18.MAA000578.3_10_M.1.1	oligodendrocyte	M
D22.MAA000578.3_10_M.1.1	oligodendrocyte	M
B9.MAA000578.3_10_M.1.1	oligodendrocyte	M
K11.MAA000578.3_10_M.1.1	oligodendrocyte	M
E13.MAA000578.3_10_M.1.1	oligodendrocyte	M
N15.MAA000578.3_10_M.1.1	oligodendrocyte	M
K17.MAA000578.3_10_M.1.1	oligodendrocyte	M
N20.MAA000578.3_10_M.1.1	oligodendrocyte	M
