Cell	Cell_Type	Gender
D19.MAA000901.3_10_M.1.1	leukocyte	M
O18.MAA000901.3_10_M.1.1	leukocyte	M
J22.MAA000901.3_10_M.1.1	leukocyte	M
B14.MAA000901.3_10_M.1.1	leukocyte	M
K4.MAA000901.3_10_M.1.1	leukocyte	M
E16.MAA000901.3_10_M.1.1	leukocyte	M
K10.MAA000901.3_10_M.1.1	leukocyte	M
N21.MAA000901.3_10_M.1.1	leukocyte	M
B16.MAA000903.3_11_M.1.1	leukocyte	M
A17.MAA000903.3_11_M.1.1	leukocyte	M
B19.MAA000903.3_11_M.1.1	leukocyte	M
B22.MAA000903.3_11_M.1.1	leukocyte	M
C8.MAA000903.3_11_M.1.1	leukocyte	M
B6.MAA000903.3_11_M.1.1	leukocyte	M
A4.MAA000903.3_11_M.1.1	leukocyte	M
B11.MAA000903.3_11_M.1.1	leukocyte	M
J12.MAA000903.3_11_M.1.1	leukocyte	M
J16.MAA000903.3_11_M.1.1	leukocyte	M
P3.MAA000903.3_11_M.1.1	leukocyte	M
D3.MAA000903.3_11_M.1.1	leukocyte	M
P4.MAA000903.3_11_M.1.1	leukocyte	M
J22.MAA000903.3_11_M.1.1	leukocyte	M
L20.MAA000903.3_11_M.1.1	leukocyte	M
L22.MAA000903.3_11_M.1.1	leukocyte	M
F17.MAA000903.3_11_M.1.1	leukocyte	M
I8.MAA000903.3_11_M.1.1	leukocyte	M
F21.MAA000903.3_11_M.1.1	leukocyte	M
K7.MAA000903.3_11_M.1.1	leukocyte	M
N20.MAA000903.3_11_M.1.1	leukocyte	M
D12.MAA000903.3_11_M.1.1	leukocyte	M
P12.MAA000903.3_11_M.1.1	leukocyte	M
G9.MAA000903.3_11_M.1.1	leukocyte	M
K19.MAA000903.3_11_M.1.1	leukocyte	M
M18.MAA000903.3_11_M.1.1	leukocyte	M
P21.MAA000903.3_11_M.1.1	leukocyte	M
E5.MAA000903.3_11_M.1.1	leukocyte	M
J3.MAA000903.3_11_M.1.1	leukocyte	M
C15.MAA000903.3_11_M.1.1	leukocyte	M
E12.MAA000903.3_11_M.1.1	leukocyte	M
P22.MAA000903.3_11_M.1.1	leukocyte	M
J5.MAA000903.3_11_M.1.1	leukocyte	M
N1.MAA000903.3_11_M.1.1	leukocyte	M
F8.MAA000917.3_11_M.1.1	leukocyte	M
