Cell	Cell_Type	Gender
N10.MAA000899.3_10_M.1.1	fibroblast	M
D22.MAA000899.3_10_M.1.1	fibroblast	M
E7.MAA000899.3_10_M.1.1	fibroblast	M
N20.MAA000899.3_10_M.1.1	fibroblast	M
O2.MAA000899.3_10_M.1.1	fibroblast	M
G17.MAA000899.3_10_M.1.1	fibroblast	M
G22.MAA000899.3_10_M.1.1	fibroblast	M
I5.MAA000899.3_10_M.1.1	fibroblast	M
P19.MAA000899.3_10_M.1.1	fibroblast	M
I10.MAA000899.3_10_M.1.1	fibroblast	M
O10.MAA000899.3_10_M.1.1	fibroblast	M
J7.MAA000899.3_10_M.1.1	fibroblast	M
O11.MAA000899.3_10_M.1.1	fibroblast	M
J20.MAA000899.3_10_M.1.1	fibroblast	M
F5.MAA000901.3_10_M.1.1	fibroblast	M
A15.MAA000901.3_10_M.1.1	fibroblast	M
F13.MAA000901.3_10_M.1.1	fibroblast	M
O9.MAA000901.3_10_M.1.1	fibroblast	M
F15.MAA000901.3_10_M.1.1	fibroblast	M
I20.MAA000901.3_10_M.1.1	fibroblast	M
P21.MAA000901.3_10_M.1.1	fibroblast	M
B4.MAA000901.3_10_M.1.1	fibroblast	M
N6.MAA000901.3_10_M.1.1	fibroblast	M
N7.MAA000901.3_10_M.1.1	fibroblast	M
B7.MAA000901.3_10_M.1.1	fibroblast	M
L20.MAA000901.3_10_M.1.1	fibroblast	M
M2.MAA000901.3_10_M.1.1	fibroblast	M
C3.MAA000901.3_10_M.1.1	fibroblast	M
H19.MAA000901.3_10_M.1.1	fibroblast	M
M8.MAA000901.3_10_M.1.1	fibroblast	M
H21.MAA000901.3_10_M.1.1	fibroblast	M
A16.MAA000903.3_11_M.1.1	fibroblast	M
A18.MAA000903.3_11_M.1.1	fibroblast	M
A20.MAA000903.3_11_M.1.1	fibroblast	M
A21.MAA000903.3_11_M.1.1	fibroblast	M
B1.MAA000903.3_11_M.1.1	fibroblast	M
B4.MAA000903.3_11_M.1.1	fibroblast	M
A1.MAA000903.3_11_M.1.1	fibroblast	M
C11.MAA000903.3_11_M.1.1	fibroblast	M
A5.MAA000903.3_11_M.1.1	fibroblast	M
A6.MAA000903.3_11_M.1.1	fibroblast	M
B10.MAA000903.3_11_M.1.1	fibroblast	M
A8.MAA000903.3_11_M.1.1	fibroblast	M
L11.MAA000903.3_11_M.1.1	fibroblast	M
N7.MAA000903.3_11_M.1.1	fibroblast	M
N8.MAA000903.3_11_M.1.1	fibroblast	M
H19.MAA000903.3_11_M.1.1	fibroblast	M
P7.MAA000903.3_11_M.1.1	fibroblast	M
P9.MAA000903.3_11_M.1.1	fibroblast	M
D10.MAA000903.3_11_M.1.1	fibroblast	M
G1.MAA000903.3_11_M.1.1	fibroblast	M
D19.MAA000903.3_11_M.1.1	fibroblast	M
D20.MAA000903.3_11_M.1.1	fibroblast	M
K12.MAA000903.3_11_M.1.1	fibroblast	M
P16.MAA000903.3_11_M.1.1	fibroblast	M
P17.MAA000903.3_11_M.1.1	fibroblast	M
E3.MAA000903.3_11_M.1.1	fibroblast	M
J2.MAA000903.3_11_M.1.1	fibroblast	M
J4.MAA000903.3_11_M.1.1	fibroblast	M
L4.MAA000903.3_11_M.1.1	fibroblast	M
C17.MAA000903.3_11_M.1.1	fibroblast	M
J6.MAA000903.3_11_M.1.1	fibroblast	M
O16.MAA000903.3_11_M.1.1	fibroblast	M
N5.MAA000903.3_11_M.1.1	fibroblast	M
H9.MAA000903.3_11_M.1.1	fibroblast	M
C19.MAA000903.3_11_M.1.1	fibroblast	M
M19.MAA000917.3_11_M.1.1	fibroblast	M
M17.MAA000917.3_11_M.1.1	fibroblast	M
G5.MAA000917.3_11_M.1.1	fibroblast	M
K16.MAA000917.3_11_M.1.1	fibroblast	M
O1.MAA000917.3_11_M.1.1	fibroblast	M
F9.MAA000918.3_10_M.1.1	fibroblast	M
L17.MAA000918.3_10_M.1.1	fibroblast	M
F18.MAA000918.3_10_M.1.1	fibroblast	M
P10.MAA000918.3_10_M.1.1	fibroblast	M
B4.MAA000918.3_10_M.1.1	fibroblast	M
B15.MAA000918.3_10_M.1.1	fibroblast	M
H3.MAA000918.3_10_M.1.1	fibroblast	M
M17.MAA000918.3_10_M.1.1	fibroblast	M
B19.MAA000918.3_10_M.1.1	fibroblast	M
N14.MAA000918.3_10_M.1.1	fibroblast	M
I15.MAA000918.3_10_M.1.1	fibroblast	M
N16.MAA000918.3_10_M.1.1	fibroblast	M
O1.MAA000918.3_10_M.1.1	fibroblast	M
