Cell	Cell_Type	Gender
L20.MAA000452.3_8_M.1.1	endothelial_cell	M
C22.MAA000452.3_8_M.1.1	endothelial_cell	M
E10.MAA000452.3_8_M.1.1	endothelial_cell	M
K2.MAA000452.3_8_M.1.1	endothelial_cell	M
I11.MAA000452.3_8_M.1.1	endothelial_cell	M
M2.MAA000452.3_8_M.1.1	endothelial_cell	M
E15.MAA000452.3_8_M.1.1	endothelial_cell	M
G18.MAA000452.3_8_M.1.1	endothelial_cell	M
K11.MAA000452.3_8_M.1.1	endothelial_cell	M
D4.MAA000452.3_8_M.1.1	endothelial_cell	M
E19.MAA000452.3_8_M.1.1	endothelial_cell	M
P10.MAA000452.3_8_M.1.1	endothelial_cell	M
N4.MAA000452.3_8_M.1.1	endothelial_cell	M
N6.MAA000452.3_8_M.1.1	endothelial_cell	M
P21.MAA000452.3_8_M.1.1	endothelial_cell	M
N10.MAA000452.3_8_M.1.1	endothelial_cell	M
N13.MAA000452.3_8_M.1.1	endothelial_cell	M
N14.MAA000452.3_8_M.1.1	endothelial_cell	M
N15.MAA000452.3_8_M.1.1	endothelial_cell	M
O2.MAA000452.3_8_M.1.1	endothelial_cell	M
O6.MAA000452.3_8_M.1.1	endothelial_cell	M
O13.MAA000452.3_8_M.1.1	endothelial_cell	M
O18.MAA000452.3_8_M.1.1	endothelial_cell	M
O3.MAA000586.3_8_M.1.1	endothelial_cell	M
K18.MAA000586.3_8_M.1.1	endothelial_cell	M
O6.MAA000586.3_8_M.1.1	endothelial_cell	M
I22.MAA000586.3_8_M.1.1	endothelial_cell	M
C3.MAA000586.3_8_M.1.1	endothelial_cell	M
F19.MAA000586.3_8_M.1.1	endothelial_cell	M
K20.MAA000586.3_8_M.1.1	endothelial_cell	M
D20.MAA000586.3_8_M.1.1	endothelial_cell	M
J8.MAA000586.3_8_M.1.1	endothelial_cell	M
C7.MAA000586.3_8_M.1.1	endothelial_cell	M
L6.MAA000586.3_8_M.1.1	endothelial_cell	M
E1.MAA000586.3_8_M.1.1	endothelial_cell	M
G2.MAA000586.3_8_M.1.1	endothelial_cell	M
A18.MAA000586.3_8_M.1.1	endothelial_cell	M
N7.MAA000586.3_8_M.1.1	endothelial_cell	M
G9.MAA000586.3_8_M.1.1	endothelial_cell	M
L19.MAA000586.3_8_M.1.1	endothelial_cell	M
C16.MAA000586.3_8_M.1.1	endothelial_cell	M
C17.MAA000586.3_8_M.1.1	endothelial_cell	M
K2.MAA000586.3_8_M.1.1	endothelial_cell	M
N11.MAA000586.3_8_M.1.1	endothelial_cell	M
K3.MAA000586.3_8_M.1.1	endothelial_cell	M
C22.MAA000586.3_8_M.1.1	endothelial_cell	M
M6.MAA000586.3_8_M.1.1	endothelial_cell	M
B20.MAA000587.3_8_M.1.1	endothelial_cell	M
H1.MAA000587.3_8_M.1.1	endothelial_cell	M
K5.MAA000587.3_8_M.1.1	endothelial_cell	M
P9.MAA000587.3_8_M.1.1	endothelial_cell	M
B21.MAA000587.3_8_M.1.1	endothelial_cell	M
P12.MAA000587.3_8_M.1.1	endothelial_cell	M
N12.MAA000587.3_8_M.1.1	endothelial_cell	M
P18.MAA000587.3_8_M.1.1	endothelial_cell	M
H10.MAA000587.3_8_M.1.1	endothelial_cell	M
E17.MAA000587.3_8_M.1.1	endothelial_cell	M
