Cell	Cell_Type	Gender
P6.MAA000926.3_9_M.1.1	endothelial_cell	M
P8.MAA000926.3_9_M.1.1	endothelial_cell	M
L17.MAA000926.3_9_M.1.1	endothelial_cell	M
L18.MAA000926.3_9_M.1.1	endothelial_cell	M
H14.MAA000926.3_9_M.1.1	endothelial_cell	M
L20.MAA000926.3_9_M.1.1	endothelial_cell	M
H18.MAA000926.3_9_M.1.1	endothelial_cell	M
P15.MAA000926.3_9_M.1.1	endothelial_cell	M
D14.MAA000926.3_9_M.1.1	endothelial_cell	M
E21.MAA000926.3_9_M.1.1	endothelial_cell	M
D15.MAA000926.3_9_M.1.1	endothelial_cell	M
C13.MAA000926.3_9_M.1.1	endothelial_cell	M
K17.MAA000926.3_9_M.1.1	endothelial_cell	M
C14.MAA000926.3_9_M.1.1	endothelial_cell	M
I1.MAA000926.3_9_M.1.1	endothelial_cell	M
J13.MAA000926.3_9_M.1.1	endothelial_cell	M
M4.MAA000926.3_9_M.1.1	endothelial_cell	M
O12.MAA000926.3_9_M.1.1	endothelial_cell	M
B12.MAA000926.3_9_M.1.1	endothelial_cell	M
P19.MAA000926.3_9_M.1.1	endothelial_cell	M
J14.MAA000926.3_9_M.1.1	endothelial_cell	M
D14.MAA000930.3_8_M.1.1	endothelial_cell	M
M22.MAA000930.3_8_M.1.1	endothelial_cell	M
B3.MAA000930.3_8_M.1.1	endothelial_cell	M
E4.MAA000930.3_8_M.1.1	endothelial_cell	M
N22.MAA000930.3_8_M.1.1	endothelial_cell	M
B20.MAA000930.3_8_M.1.1	endothelial_cell	M
F15.MAA000930.3_8_M.1.1	endothelial_cell	M
O22.MAA000930.3_8_M.1.1	endothelial_cell	M
G22.MAA000930.3_8_M.1.1	endothelial_cell	M
A15.MAA000930.3_8_M.1.1	endothelial_cell	M
A18.MAA000930.3_8_M.1.1	endothelial_cell	M
B9.MAA000932.3_11_M.1.1	endothelial_cell	M
D5.MAA000932.3_11_M.1.1	endothelial_cell	M
O4.MAA000932.3_11_M.1.1	endothelial_cell	M
F10.MAA000932.3_11_M.1.1	endothelial_cell	M
D7.MAA000932.3_11_M.1.1	endothelial_cell	M
F11.MAA000932.3_11_M.1.1	endothelial_cell	M
K2.MAA000932.3_11_M.1.1	endothelial_cell	M
M4.MAA000932.3_11_M.1.1	endothelial_cell	M
P20.MAA000932.3_11_M.1.1	endothelial_cell	M
B11.MAA000932.3_11_M.1.1	endothelial_cell	M
A1.MAA000932.3_11_M.1.1	endothelial_cell	M
I3.MAA000932.3_11_M.1.1	endothelial_cell	M
K3.MAA000932.3_11_M.1.1	endothelial_cell	M
M5.MAA000932.3_11_M.1.1	endothelial_cell	M
O7.MAA000932.3_11_M.1.1	endothelial_cell	M
E1.MAA000932.3_11_M.1.1	endothelial_cell	M
K4.MAA000932.3_11_M.1.1	endothelial_cell	M
K5.MAA000932.3_11_M.1.1	endothelial_cell	M
O9.MAA000932.3_11_M.1.1	endothelial_cell	M
A2.MAA000932.3_11_M.1.1	endothelial_cell	M
E2.MAA000932.3_11_M.1.1	endothelial_cell	M
G2.MAA000932.3_11_M.1.1	endothelial_cell	M
E3.MAA000932.3_11_M.1.1	endothelial_cell	M
G3.MAA000932.3_11_M.1.1	endothelial_cell	M
A3.MAA000932.3_11_M.1.1	endothelial_cell	M
I7.MAA000932.3_11_M.1.1	endothelial_cell	M
K6.MAA000932.3_11_M.1.1	endothelial_cell	M
M8.MAA000932.3_11_M.1.1	endothelial_cell	M
O10.MAA000932.3_11_M.1.1	endothelial_cell	M
A4.MAA000932.3_11_M.1.1	endothelial_cell	M
E4.MAA000932.3_11_M.1.1	endothelial_cell	M
I8.MAA000932.3_11_M.1.1	endothelial_cell	M
K7.MAA000932.3_11_M.1.1	endothelial_cell	M
M9.MAA000932.3_11_M.1.1	endothelial_cell	M
O11.MAA000932.3_11_M.1.1	endothelial_cell	M
C1.MAA000932.3_11_M.1.1	endothelial_cell	M
G5.MAA000932.3_11_M.1.1	endothelial_cell	M
A5.MAA000932.3_11_M.1.1	endothelial_cell	M
I9.MAA000932.3_11_M.1.1	endothelial_cell	M
K8.MAA000932.3_11_M.1.1	endothelial_cell	M
M10.MAA000932.3_11_M.1.1	endothelial_cell	M
A6.MAA000932.3_11_M.1.1	endothelial_cell	M
E6.MAA000932.3_11_M.1.1	endothelial_cell	M
G6.MAA000932.3_11_M.1.1	endothelial_cell	M
K11.MAA000932.3_11_M.1.1	endothelial_cell	M
C3.MAA000932.3_11_M.1.1	endothelial_cell	M
E11.MAA000932.3_11_M.1.1	endothelial_cell	M
G7.MAA000932.3_11_M.1.1	endothelial_cell	M
A8.MAA000932.3_11_M.1.1	endothelial_cell	M
M21.MAA000932.3_11_M.1.1	endothelial_cell	M
C4.MAA000932.3_11_M.1.1	endothelial_cell	M
G8.MAA000932.3_11_M.1.1	endothelial_cell	M
N1.MAA000932.3_11_M.1.1	endothelial_cell	M
P1.MAA000932.3_11_M.1.1	endothelial_cell	M
A10.MAA000932.3_11_M.1.1	endothelial_cell	M
C5.MAA000932.3_11_M.1.1	endothelial_cell	M
G10.MAA000932.3_11_M.1.1	endothelial_cell	M
L2.MAA000932.3_11_M.1.1	endothelial_cell	M
J2.MAA000932.3_11_M.1.1	endothelial_cell	M
N2.MAA000932.3_11_M.1.1	endothelial_cell	M
P2.MAA000932.3_11_M.1.1	endothelial_cell	M
A11.MAA000932.3_11_M.1.1	endothelial_cell	M
E18.MAA000932.3_11_M.1.1	endothelial_cell	M
J3.MAA000932.3_11_M.1.1	endothelial_cell	M
A16.MAA000932.3_11_M.1.1	endothelial_cell	M
P3.MAA000932.3_11_M.1.1	endothelial_cell	M
H1.MAA000932.3_11_M.1.1	endothelial_cell	M
J4.MAA000932.3_11_M.1.1	endothelial_cell	M
L5.MAA000932.3_11_M.1.1	endothelial_cell	M
P5.MAA000932.3_11_M.1.1	endothelial_cell	M
C8.MAA000932.3_11_M.1.1	endothelial_cell	M
F1.MAA000932.3_11_M.1.1	endothelial_cell	M
H2.MAA000932.3_11_M.1.1	endothelial_cell	M
J5.MAA000932.3_11_M.1.1	endothelial_cell	M
C9.MAA000932.3_11_M.1.1	endothelial_cell	M
N5.MAA000932.3_11_M.1.1	endothelial_cell	M
P6.MAA000932.3_11_M.1.1	endothelial_cell	M
B1.MAA000932.3_11_M.1.1	endothelial_cell	M
C11.MAA000932.3_11_M.1.1	endothelial_cell	M
F2.MAA000932.3_11_M.1.1	endothelial_cell	M
H3.MAA000932.3_11_M.1.1	endothelial_cell	M
J6.MAA000932.3_11_M.1.1	endothelial_cell	M
L7.MAA000932.3_11_M.1.1	endothelial_cell	M
N6.MAA000932.3_11_M.1.1	endothelial_cell	M
P7.MAA000932.3_11_M.1.1	endothelial_cell	M
F3.MAA000932.3_11_M.1.1	endothelial_cell	M
J7.MAA000932.3_11_M.1.1	endothelial_cell	M
B2.MAA000932.3_11_M.1.1	endothelial_cell	M
C17.MAA000932.3_11_M.1.1	endothelial_cell	M
N8.MAA000932.3_11_M.1.1	endothelial_cell	M
P8.MAA000932.3_11_M.1.1	endothelial_cell	M
H5.MAA000932.3_11_M.1.1	endothelial_cell	M
J8.MAA000932.3_11_M.1.1	endothelial_cell	M
L9.MAA000932.3_11_M.1.1	endothelial_cell	M
P9.MAA000932.3_11_M.1.1	endothelial_cell	M
L10.MAA000932.3_11_M.1.1	endothelial_cell	M
N10.MAA000932.3_11_M.1.1	endothelial_cell	M
B4.MAA000932.3_11_M.1.1	endothelial_cell	M
F5.MAA000932.3_11_M.1.1	endothelial_cell	M
H6.MAA000932.3_11_M.1.1	endothelial_cell	M
J9.MAA000932.3_11_M.1.1	endothelial_cell	M
D1.MAA000932.3_11_M.1.1	endothelial_cell	M
F6.MAA000932.3_11_M.1.1	endothelial_cell	M
B5.MAA000932.3_11_M.1.1	endothelial_cell	M
L11.MAA000932.3_11_M.1.1	endothelial_cell	M
N11.MAA000932.3_11_M.1.1	endothelial_cell	M
B6.MAA000932.3_11_M.1.1	endothelial_cell	M
F7.MAA000932.3_11_M.1.1	endothelial_cell	M
H9.MAA000932.3_11_M.1.1	endothelial_cell	M
J11.MAA000932.3_11_M.1.1	endothelial_cell	M
M1.MAA000932.3_11_M.1.1	endothelial_cell	M
O1.MAA000932.3_11_M.1.1	endothelial_cell	M
D3.MAA000932.3_11_M.1.1	endothelial_cell	M
F8.MAA000932.3_11_M.1.1	endothelial_cell	M
J20.MAA000932.3_11_M.1.1	endothelial_cell	M
M2.MAA000932.3_11_M.1.1	endothelial_cell	M
O3.MAA000932.3_11_M.1.1	endothelial_cell	M
B8.MAA000932.3_11_M.1.1	endothelial_cell	M
F9.MAA000932.3_11_M.1.1	endothelial_cell	M
H21.MAA000932.3_11_M.1.1	endothelial_cell	M
C15.MAA000935.3_8_M.1.1	endothelial_cell	M
I4.MAA000935.3_8_M.1.1	endothelial_cell	M
I11.MAA000935.3_8_M.1.1	endothelial_cell	M
L17.MAA000935.3_8_M.1.1	endothelial_cell	M
B7.MAA000935.3_8_M.1.1	endothelial_cell	M
A2.MAA000941.3_8_M.1.1	endothelial_cell	M
A13.MAA000941.3_8_M.1.1	endothelial_cell	M
A15.MAA000941.3_8_M.1.1	endothelial_cell	M
A18.MAA000941.3_8_M.1.1	endothelial_cell	M
B12.MAA000941.3_8_M.1.1	endothelial_cell	M
D19.MAA000941.3_8_M.1.1	endothelial_cell	M
K18.MAA000941.3_8_M.1.1	endothelial_cell	M
K21.MAA000941.3_8_M.1.1	endothelial_cell	M
P21.MAA000941.3_8_M.1.1	endothelial_cell	M
N13.MAA000941.3_8_M.1.1	endothelial_cell	M
E13.MAA000941.3_8_M.1.1	endothelial_cell	M
N22.MAA000941.3_8_M.1.1	endothelial_cell	M
L22.MAA000941.3_8_M.1.1	endothelial_cell	M
C20.MAA000941.3_8_M.1.1	endothelial_cell	M
J14.MAA000941.3_8_M.1.1	endothelial_cell	M
O16.MAA000941.3_8_M.1.1	endothelial_cell	M
D13.MAA000941.3_8_M.1.1	endothelial_cell	M
M16.MAA000941.3_8_M.1.1	endothelial_cell	M
K12.MAA000941.3_8_M.1.1	endothelial_cell	M
M19.MAA000941.3_8_M.1.1	endothelial_cell	M
K13.MAA000941.3_8_M.1.1	endothelial_cell	M
M14.MAA000942.3_8_M.1.1	endothelial_cell	M
K14.MAA000942.3_8_M.1.1	endothelial_cell	M
A4.MAA000942.3_8_M.1.1	endothelial_cell	M
L4.MAA000942.3_8_M.1.1	endothelial_cell	M
F13.MAA000942.3_8_M.1.1	endothelial_cell	M
P15.MAA000942.3_8_M.1.1	endothelial_cell	M
A21.MAA000944.3_9_M.1.1	endothelial_cell	M
C16.MAA000944.3_9_M.1.1	endothelial_cell	M
B18.MAA000944.3_9_M.1.1	endothelial_cell	M
I9.MAA000944.3_9_M.1.1	endothelial_cell	M
B22.MAA000944.3_9_M.1.1	endothelial_cell	M
E20.MAA000944.3_9_M.1.1	endothelial_cell	M
G16.MAA000944.3_9_M.1.1	endothelial_cell	M
A13.MAA000944.3_9_M.1.1	endothelial_cell	M
D13.MAA000944.3_9_M.1.1	endothelial_cell	M
M22.MAA000947.3_9_M.1.1	endothelial_cell	M
G14.MAA000947.3_9_M.1.1	endothelial_cell	M
L18.MAA000947.3_9_M.1.1	endothelial_cell	M
H15.MAA000947.3_9_M.1.1	endothelial_cell	M
G19.MAA000424.3_11_M.1.1	endothelial_cell	M
A22.MAA000424.3_11_M.1.1	endothelial_cell	M
J13.MAA000424.3_11_M.1.1	endothelial_cell	M
B19.MAA000424.3_11_M.1.1	endothelial_cell	M
B20.MAA000424.3_11_M.1.1	endothelial_cell	M
C21.MAA000424.3_11_M.1.1	endothelial_cell	M
L17.MAA000424.3_11_M.1.1	endothelial_cell	M
L21.MAA000424.3_11_M.1.1	endothelial_cell	M
L22.MAA000424.3_11_M.1.1	endothelial_cell	M
